tensor(3.0717, dtype=torch.float64)
tensor(2.8852, dtype=torch.float64)
tensor(2.9018, dtype=torch.float64)
tensor(2.5388, dtype=torch.float64)
tensor(2.7710, dtype=torch.float64)
tensor(3.2162, dtype=torch.float64)
tensor(2.9154, dtype=torch.float64)
tensor(2.9371, dtype=torch.float64)
tensor(2.7286, dtype=torch.float64)
tensor(2.7578, dtype=torch.float64)
tensor(2.9935, dtype=torch.float64)
tensor(2.6513, dtype=torch.float64)
tensor(3.1035, dtype=torch.float64)
tensor(2.8666, dtype=torch.float64)
tensor(2.5936, dtype=torch.float64)
tensor(2.3377, dtype=torch.float64)
tensor(2.5315, dtype=torch.float64)
tensor(3.1456, dtype=torch.float64)
tensor(3.0726, dtype=torch.float64)
tensor(2.5520, dtype=torch.float64)
tensor(2.5909, dtype=torch.float64)
tensor(2.7695, dtype=torch.float64)
tensor(2.7766, dtype=torch.float64)
tensor(2.8379, dtype=torch.float64)
tensor(2.5022, dtype=torch.float64)
tensor(2.3975, dtype=torch.float64)
tensor(3.1525, dtype=torch.float64)
tensor(2.6931, dtype=torch.float64)
tensor(2.8352, dtype=torch.float64)
tensor(2.8853, dtype=torch.float64)
tensor(2.9226, dtype=torch.float64)
tensor(2.9917, dtype=torch.float64)
tensor(2.5548, dtype=torch.float64)
tensor(3.1476, dtype=torch.float64)
tensor(3.1586, dtype=torch.float64)
tensor(3.2346, dtype=torch.float64)
tensor(3.5542, dtype=torch.float64)
tensor(2.9017, dtype=torch.float64)
tensor(2.7741, dtype=torch.float64)
tensor(2.8172, dtype=torch.float64)
tensor(2.6285, dtype=torch.float64)
tensor(2.5796, dtype=torch.float64)
tensor(2.8800, dtype=torch.float64)
tensor(2.6980, dtype=torch.float64)
tensor(2.5694, dtype=torch.float64)
tensor(2.6066, dtype=torch.float64)
tensor(2.6734, dtype=torch.float64)
tensor(2.5949, dtype=torch.float64)
tensor(2.5724, dtype=torch.float64)
tensor(2.6649, dtype=torch.float64)
tensor(2.6956, dtype=torch.float64)
tensor(2.6688, dtype=torch.float64)
tensor(2.5447, dtype=torch.float64)
tensor(2.5890, dtype=torch.float64)
tensor(2.5402, dtype=torch.float64)
tensor(2.4598, dtype=torch.float64)
tensor(2.5894, dtype=torch.float64)
tensor(2.6058, dtype=torch.float64)
tensor(2.4430, dtype=torch.float64)
tensor(2.4052, dtype=torch.float64)
tensor(2.3226, dtype=torch.float64)
tensor(2.2968, dtype=torch.float64)
tensor(2.4128, dtype=torch.float64)
tensor(2.6286, dtype=torch.float64)
tensor(2.4977, dtype=torch.float64)
tensor(2.2848, dtype=torch.float64)
tensor(2.5776, dtype=torch.float64)
tensor(2.4453, dtype=torch.float64)
tensor(2.2823, dtype=torch.float64)
tensor(2.4864, dtype=torch.float64)
tensor(2.4120, dtype=torch.float64)
tensor(3.7304, dtype=torch.float64)
tensor(2.7140, dtype=torch.float64)
tensor(2.9176, dtype=torch.float64)
tensor(2.9435, dtype=torch.float64)
tensor(3.8619, dtype=torch.float64)
tensor(5.4344, dtype=torch.float64)
tensor(3.6156, dtype=torch.float64)
tensor(2.8872, dtype=torch.float64)
tensor(3.2903, dtype=torch.float64)
tensor(3.0103, dtype=torch.float64)
tensor(2.5625, dtype=torch.float64)
tensor(2.8288, dtype=torch.float64)
tensor(2.6974, dtype=torch.float64)
tensor(2.5699, dtype=torch.float64)
tensor(2.3542, dtype=torch.float64)
tensor(2.7263, dtype=torch.float64)
tensor(2.4514, dtype=torch.float64)
tensor(2.5978, dtype=torch.float64)
tensor(2.3597, dtype=torch.float64)
tensor(2.4057, dtype=torch.float64)
tensor(2.4873, dtype=torch.float64)
tensor(2.5214, dtype=torch.float64)
tensor(2.5110, dtype=torch.float64)
tensor(2.4171, dtype=torch.float64)
tensor(2.7483, dtype=torch.float64)
tensor(2.5336, dtype=torch.float64)
tensor(2.8055, dtype=torch.float64)
tensor(2.7778, dtype=torch.float64)
tensor(2.5582, dtype=torch.float64)
tensor(2.5161, dtype=torch.float64)
tensor(2.4771, dtype=torch.float64)
tensor(2.5486, dtype=torch.float64)
tensor(2.6018, dtype=torch.float64)
tensor(2.6522, dtype=torch.float64)
tensor(3.0280, dtype=torch.float64)
tensor(2.7026, dtype=torch.float64)
tensor(2.4776, dtype=torch.float64)
tensor(2.2756, dtype=torch.float64)
tensor(2.2531, dtype=torch.float64)
tensor(2.5105, dtype=torch.float64)
tensor(2.4185, dtype=torch.float64)
tensor(2.6874, dtype=torch.float64)
tensor(2.8740, dtype=torch.float64)
tensor(2.5542, dtype=torch.float64)
tensor(2.6375, dtype=torch.float64)
tensor(2.3795, dtype=torch.float64)
tensor(2.3226, dtype=torch.float64)
tensor(2.2903, dtype=torch.float64)
tensor(2.5348, dtype=torch.float64)
tensor(2.1584, dtype=torch.float64)
tensor(2.1839, dtype=torch.float64)
tensor(2.4554, dtype=torch.float64)
tensor(2.3995, dtype=torch.float64)
tensor(2.1651, dtype=torch.float64)
tensor(2.3117, dtype=torch.float64)
tensor(2.4365, dtype=torch.float64)
tensor(2.6489, dtype=torch.float64)
tensor(2.7539, dtype=torch.float64)
tensor(3.1688, dtype=torch.float64)
tensor(2.7634, dtype=torch.float64)
tensor(2.7632, dtype=torch.float64)
tensor(2.6150, dtype=torch.float64)
tensor(2.8052, dtype=torch.float64)
tensor(3.2199, dtype=torch.float64)
tensor(3.8199, dtype=torch.float64)
tensor(2.6528, dtype=torch.float64)
tensor(2.4571, dtype=torch.float64)
tensor(2.5951, dtype=torch.float64)
tensor(2.7716, dtype=torch.float64)
tensor(2.3178, dtype=torch.float64)
tensor(2.3326, dtype=torch.float64)
tensor(2.2494, dtype=torch.float64)
tensor(2.1372, dtype=torch.float64)
tensor(2.4472, dtype=torch.float64)
tensor(2.0893, dtype=torch.float64)
tensor(1.9609, dtype=torch.float64)
tensor(2.1033, dtype=torch.float64)
tensor(2.7671, dtype=torch.float64)
tensor(3.2425, dtype=torch.float64)
tensor(3.7640, dtype=torch.float64)
tensor(2.7569, dtype=torch.float64)
tensor(2.7091, dtype=torch.float64)
tensor(2.5399, dtype=torch.float64)
tensor(2.4948, dtype=torch.float64)
tensor(2.0419, dtype=torch.float64)
tensor(2.2449, dtype=torch.float64)
tensor(2.1584, dtype=torch.float64)
tensor(2.4632, dtype=torch.float64)
tensor(2.1468, dtype=torch.float64)
tensor(2.3023, dtype=torch.float64)
tensor(3.0762, dtype=torch.float64)
tensor(2.3232, dtype=torch.float64)
tensor(2.2190, dtype=torch.float64)
tensor(2.3503, dtype=torch.float64)
tensor(2.2139, dtype=torch.float64)
tensor(2.2088, dtype=torch.float64)
tensor(2.1274, dtype=torch.float64)
tensor(2.1946, dtype=torch.float64)
tensor(2.3407, dtype=torch.float64)
tensor(2.3879, dtype=torch.float64)
tensor(2.1437, dtype=torch.float64)
tensor(2.2040, dtype=torch.float64)
